symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot,mid,spread,rel_spread,crossed,wide,side_used,k
AAPL250912C00260000,AAPL,equity,2025-09-12 00:00:00+00:00,260.0,C,0.05,0.06,0.05,,2329.0,2744.0,100.0,USD,USD,False,0.3007882421875,2025-09-07 20:23:16.535238+00:00,239.69,0.055,0.009999999999999995,0.18181818181818174,False,True,both,0.08069911619729711
AAPL250912C00265000,AAPL,equity,2025-09-12 00:00:00+00:00,265.0,C,0.03,0.04,0.04,,818.0,5689.0,100.0,USD,USD,False,0.3398503515625,2025-09-07 20:23:16.535238+00:00,239.69,0.035,0.010000000000000002,0.28571428571428575,False,True,both,0.0997473111679916
AAPL250912C00270000,AAPL,equity,2025-09-12 00:00:00+00:00,270.0,C,0.01,0.02,0.01,,440.0,3080.0,100.0,USD,USD,False,0.3632876171875,2025-09-07 20:23:16.535238+00:00,239.69,0.015,0.01,0.6666666666666667,False,True,both,0.11843944418014417
AAPL250912C00275000,AAPL,equity,2025-09-12 00:00:00+00:00,275.0,C,0.01,0.02,0.02,,82.0,1074.0,100.0,USD,USD,False,0.414068359375,2025-09-07 20:23:16.535238+00:00,239.69,0.015,0.01,0.6666666666666667,False,True,both,0.13678858284834072
AAPL250912C00280000,AAPL,equity,2025-09-12 00:00:00+00:00,280.0,C,0.0,0.01,0.01,,1355.0,1521.0,100.0,USD,USD,False,0.42969320312500003,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.15480708835101906
AAPL250912C00285000,AAPL,equity,2025-09-12 00:00:00+00:00,285.0,C,0.0,0.01,0.01,,128.0,2301.0,100.0,USD,USD,False,0.4687553125,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.17250666545041998
AAPL250912C00290000,AAPL,equity,2025-09-12 00:00:00+00:00,290.0,C,0.0,0.01,0.01,,5.0,317.0,100.0,USD,USD,False,0.51562984375,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.18989840816228917
AAPL250912C00295000,AAPL,equity,2025-09-12 00:00:00+00:00,295.0,C,0.0,0.01,0.01,,2.0,127.0,100.0,USD,USD,False,0.5312546875,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.2069928415215893
AAPL250912C00300000,AAPL,equity,2025-09-12 00:00:00+00:00,300.0,C,0.0,0.01,0.01,,5.0,1347.0,100.0,USD,USD,False,0.5625043750000001,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.22379995983797055
AAPL250912C00305000,AAPL,equity,2025-09-12 00:00:00+00:00,305.0,C,0.0,0.01,0.01,,1.0,23.0,100.0,USD,USD,False,0.5937540625000001,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.24032926178918113
AAPL250912C00310000,AAPL,equity,2025-09-12 00:00:00+00:00,310.0,C,0.0,0.03,0.01,,4.0,15.0,100.0,USD,USD,False,0.70312796875,2025-09-07 20:23:16.535238+00:00,239.69,0.03,,,False,False,ask_only,0.25658978266096144
AAPL250912C00315000,AAPL,equity,2025-09-12 00:00:00+00:00,315.0,C,0.0,0.01,0.01,,1.0,21.0,100.0,USD,USD,False,0.6718782812500002,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.27259012400740257
AAPL250912C00320000,AAPL,equity,2025-09-12 00:00:00+00:00,320.0,C,0.0,0.01,0.01,,100.0,6.0,100.0,USD,USD,False,0.7187528125,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.28833848097554177
AAPL250912C00325000,AAPL,equity,2025-09-12 00:00:00+00:00,325.0,C,0.0,0.01,0.01,,28.0,715.0,100.0,USD,USD,False,0.7500025,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,0.303842667511507
AAPL250912P00130000,AAPL,equity,2025-09-12 00:00:00+00:00,130.0,P,0.0,0.01,0.01,,1.0,9.0,100.0,USD,USD,False,1.46875265625,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.6124480643626482
AAPL250912P00135000,AAPL,equity,2025-09-12 00:00:00+00:00,135.0,P,0.0,0.01,0.01,,3.0,352.0,100.0,USD,USD,False,1.3750031249999999,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.5747077363798011
AAPL250912P00140000,AAPL,equity,2025-09-12 00:00:00+00:00,140.0,P,0.0,0.01,0.01,,70.0,92.0,100.0,USD,USD,False,1.3125034374999998,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.5383400922089263
AAPL250912P00145000,AAPL,equity,2025-09-12 00:00:00+00:00,145.0,P,0.0,0.01,0.01,,10.0,87.0,100.0,USD,USD,False,1.21875390625,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.5032487723976561
AAPL250912P00150000,AAPL,equity,2025-09-12 00:00:00+00:00,150.0,P,0.0,0.01,0.01,,1.0,77.0,100.0,USD,USD,False,1.125004375,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.46934722072197477
AAPL250912P00155000,AAPL,equity,2025-09-12 00:00:00+00:00,155.0,P,0.0,0.01,0.01,,2.0,49.0,100.0,USD,USD,False,1.0625046875000002,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.43655739789898385
AAPL250912P00160000,AAPL,equity,2025-09-12 00:00:00+00:00,160.0,P,0.0,0.22,0.02,,3.0,236.0,100.0,USD,USD,False,1.3476595117187498,2025-09-07 20:23:16.535238+00:00,239.69,0.22,,,False,False,ask_only,-0.4048086995844035
AAPL250912P00165000,AAPL,equity,2025-09-12 00:00:00+00:00,165.0,P,0.0,0.22,0.01,,5.0,127.0,100.0,USD,USD,False,1.25390998046875,2025-09-07 20:23:16.535238+00:00,239.69,0.22,,,False,False,ask_only,-0.37403704091765
AAPL250912P00170000,AAPL,equity,2025-09-12 00:00:00+00:00,170.0,P,0.0,0.13,0.01,,5.0,633.0,100.0,USD,USD,False,1.08984830078125,2025-09-07 20:23:16.535238+00:00,239.69,0.13,,,False,False,ask_only,-0.34418407776796883
AAPL250912P00175000,AAPL,equity,2025-09-12 00:00:00+00:00,175.0,P,0.0,0.01,0.01,,34.0,154.0,100.0,USD,USD,False,0.7812521875,2025-09-07 20:23:16.535238+00:00,239.69,0.01,,,False,False,ask_only,-0.3151965408947165
AAPL250912P00180000,AAPL,equity,2025-09-12 00:00:00+00:00,180.0,P,0.01,0.02,0.01,,40.0,421.0,100.0,USD,USD,False,0.79687703125,2025-09-07 20:23:16.535238+00:00,239.69,0.015,0.01,0.6666666666666667,False,True,both,-0.28702566392802015
AAPL250912P00185000,AAPL,equity,2025-09-12 00:00:00+00:00,185.0,P,0.01,0.02,0.01,,19.0,747.0,100.0,USD,USD,False,0.7187528125,2025-09-07 20:23:16.535238+00:00,239.69,0.015,0.01,0.6666666666666667,False,True,both,-0.2596266897399057
AAPL250912P00190000,AAPL,equity,2025-09-12 00:00:00+00:00,190.0,P,0.01,0.02,0.02,,55.0,684.0,100.0,USD,USD,False,0.6562534375000001,2025-09-07 20:23:16.535238+00:00,239.69,0.015,0.01,0.6666666666666667,False,True,both,-0.23295844265774435
AAPL250912P00195000,AAPL,equity,2025-09-12 00:00:00+00:00,195.0,P,0.02,0.03,0.02,,205.0,1399.0,100.0,USD,USD,False,0.6171913281250001,2025-09-07 20:23:16.535238+00:00,239.69,0.025,0.009999999999999998,0.3999999999999999,False,True,both,-0.20698295625448368
AAPL250912P00200000,AAPL,equity,2025-09-12 00:00:00+00:00,200.0,P,0.02,0.03,0.03,,1754.0,4691.0,100.0,USD,USD,False,0.5507857421875001,2025-09-07 20:23:16.535238+00:00,239.69,0.025,0.009999999999999998,0.3999999999999999,False,True,both,-0.18166514827019392
AAPL250912P00205000,AAPL,equity,2025-09-12 00:00:00+00:00,205.0,P,0.03,0.04,0.03,,497.0,1640.0,100.0,USD,USD,False,0.500005,2025-09-07 20:23:16.535238+00:00,239.69,0.035,0.010000000000000002,0.28571428571428575,False,True,both,-0.1569725356798224
AAPL250912P00207500,AAPL,equity,2025-09-12 00:00:00+00:00,207.5,P,0.03,0.04,0.04,,1290.0,507.0,100.0,USD,USD,False,0.4726615234375,2025-09-07 20:23:16.535238+00:00,239.69,0.035,0.010000000000000002,0.28571428571428575,False,True,both,-0.14485117514747758
AAPL250912P00210000,AAPL,equity,2025-09-12 00:00:00+00:00,210.0,P,0.04,0.05,0.04,,474.0,3895.0,100.0,USD,USD,False,0.45117736328125,2025-09-07 20:23:16.535238+00:00,239.69,0.045,0.010000000000000002,0.22222222222222227,False,True,both,-0.13287498410076187
AAPL250912P00212500,AAPL,equity,2025-09-12 00:00:00+00:00,212.5,P,0.05,0.06,0.06,,115.0,1189.0,100.0,USD,USD,False,0.42578699218750005,2025-09-07 20:23:16.535238+00:00,239.69,0.055,0.009999999999999995,0.18181818181818174,False,True,both,-0.12104052645375903
AAPL250912P00215000,AAPL,equity,2025-09-12 00:00:00+00:00,215.0,P,0.05,0.07,0.07,,407.0,3370.0,100.0,USD,USD,False,0.398443515625,2025-09-07 20:23:16.535238+00:00,239.69,0.060000000000000005,0.020000000000000004,0.33333333333333337,False,True,both,-0.10934448669056775
AAPL250912P00217500,AAPL,equity,2025-09-12 00:00:00+00:00,217.5,P,0.06,0.08,0.08,,652.0,1114.0,100.0,USD,USD,False,0.36914693359375,2025-09-07 20:23:16.535238+00:00,239.69,0.07,0.020000000000000004,0.28571428571428575,False,True,both,-0.09778366428949176
AAPL250912P00220000,AAPL,equity,2025-09-12 00:00:00+00:00,220.0,P,0.08,0.1,0.1,,1888.0,14047.0,100.0,USD,USD,False,0.3437565625,2025-09-07 20:23:16.535238+00:00,239.69,0.09,0.020000000000000004,0.22222222222222227,False,True,both,-0.08635496846586899
AAPL250912P00222500,AAPL,equity,2025-09-12 00:00:00+00:00,222.5,P,0.12,0.14,0.13,,1771.0,14895.0,100.0,USD,USD,False,0.3242255078124999,2025-09-07 20:23:16.535238+00:00,239.69,0.13,0.020000000000000018,0.15384615384615397,False,True,both,-0.07505541321193561
AAPL250912P00225000,AAPL,equity,2025-09-12 00:00:00+00:00,225.0,P,0.16,0.18,0.17,,2055.0,5952.0,100.0,USD,USD,False,0.2978585839843749,2025-09-07 20:23:16.535238+00:00,239.69,0.16999999999999998,0.01999999999999999,0.11764705882352937,False,False,both,-0.06388211261381038
AAPL250912P00227500,AAPL,equity,2025-09-12 00:00:00+00:00,227.5,P,0.27,0.28,0.27,,3680.0,2731.0,100.0,USD,USD,False,0.28174546386718746,2025-09-07 20:23:16.535238+00:00,239.69,0.275,0.010000000000000009,0.03636363636363639,False,False,both,-0.0528322764272254
AAPL250912P00230000,AAPL,equity,2025-09-12 00:00:00+00:00,230.0,P,0.43,0.44,0.44,,10204.0,7225.0,100.0,USD,USD,False,0.2661206201171875,2025-09-07 20:23:16.535238+00:00,239.69,0.435,0.010000000000000009,0.022988505747126457,False,False,both,-0.04190320589503512
AAPL250912P00232500,AAPL,equity,2025-09-12 00:00:00+00:00,232.5,P,0.7,0.73,0.72,,5930.0,3550.0,100.0,USD,USD,False,0.25489026367187506,2025-09-07 20:23:16.535238+00:00,239.69,0.715,0.030000000000000027,0.041958041958041994,False,False,both,-0.031092289790819485
AAPL250912P00235000,AAPL,equity,2025-09-12 00:00:00+00:00,235.0,P,1.14,1.18,1.15,,10042.0,3481.0,100.0,USD,USD,False,0.243171630859375,2025-09-07 20:23:16.535238+00:00,239.69,1.16,0.040000000000000036,0.03448275862068969,False,False,both,-0.02039700067407152
AAPL250912P00237500,AAPL,equity,2025-09-12 00:00:00+00:00,237.5,P,1.84,1.93,1.95,,7937.0,3324.0,100.0,USD,USD,False,0.2371902453613281,2025-09-07 20:23:16.535238+00:00,239.69,1.885,0.08999999999999986,0.047745358090185604,False,False,both,-0.009814891343534686
AAPL250912P00240000,AAPL,equity,2025-09-12 00:00:00+00:00,240.0,P,2.86,2.98,2.96,,8548.0,902.0,100.0,USD,USD,False,0.23011023803710937,2025-09-07 20:23:16.535238+00:00,239.69,2.92,0.1200000000000001,0.04109589041095894,False,False,both,0.0006564085237608373
AAPL250912P00242500,AAPL,equity,2025-09-12 00:00:00+00:00,242.5,P,4.25,4.4,4.55,,1381.0,748.0,100.0,USD,USD,False,0.22473919799804684,2025-09-07 20:23:16.535238+00:00,239.69,4.325,0.15000000000000036,0.03468208092485557,False,False,both,0.011019195559307318
AAPL250912P00245000,AAPL,equity,2025-09-12 00:00:00+00:00,245.0,P,6.0,6.2,6.6,,2361.0,3475.0,100.0,USD,USD,False,0.22376264526367184,2025-09-07 20:23:16.535238+00:00,239.69,6.1,0.20000000000000018,0.03278688524590167,False,False,both,0.02127569572649653
AAPL250912P00247500,AAPL,equity,2025-09-12 00:00:00+00:00,247.5,P,7.95,8.45,8.35,,644.0,33.0,100.0,USD,USD,False,0.24878680908203127,2025-09-07 20:23:16.535238+00:00,239.69,8.2,0.4999999999999991,0.060975609756097456,False,False,both,0.03142806719051444
AAPL250912P00250000,AAPL,equity,2025-09-12 00:00:00+00:00,250.0,P,10.3,10.8,10.77,,124.0,14.0,100.0,USD,USD,False,0.2751537329101562,2025-09-07 20:23:16.535238+00:00,239.69,10.55,0.5,0.04739336492890995,False,False,both,0.041478403044015996
AAPL250912P00252500,AAPL,equity,2025-09-12 00:00:00+00:00,252.5,P,12.7,13.35,12.81,,10.0,1.0,100.0,USD,USD,False,0.3286199951171874,2025-09-07 20:23:16.535238+00:00,239.69,13.024999999999999,0.6500000000000004,0.04990403071017278,False,False,both,0.05142873389718398
AAPL250912P00255000,AAPL,equity,2025-09-12 00:00:00+00:00,255.0,P,14.8,15.95,15.62,,5.0,0.0,100.0,USD,USD,False,0.3898986791992188,2025-09-07 20:23:16.535238+00:00,239.69,15.375,1.1499999999999986,0.07479674796747958,False,False,both,0.06128103034019551
AAPL250912P00257500,AAPL,equity,2025-09-12 00:00:00+00:00,257.5,P,17.3,18.65,18.03,,4.0,0.0,100.0,USD,USD,False,0.4672904833984375,2025-09-07 20:23:16.535238+00:00,239.69,17.975,1.3499999999999979,0.07510431154381073,False,False,both,0.07103720528556032
AAPL250912P00260000,AAPL,equity,2025-09-12 00:00:00+00:00,260.0,P,19.85,21.05,21.1,,85.0,80.0,100.0,USD,USD,False,0.4931691308593751,2025-09-07 20:23:16.535238+00:00,239.69,20.450000000000003,1.1999999999999993,0.05867970660146695,False,False,both,0.08069911619729711
AAPL250912P00265000,AAPL,equity,2025-09-12 00:00:00+00:00,265.0,P,24.8,26.05,27.4,,1.0,1.0,100.0,USD,USD,False,0.5749554223632812,2025-09-07 20:23:16.535238+00:00,239.69,25.425,1.25,0.049164208456243856,False,False,both,0.0997473111679916
AAPL250912P00280000,AAPL,equity,2025-09-12 00:00:00+00:00,280.0,P,39.85,41.2,53.15,,,0.0,100.0,USD,USD,False,0.6289099609375001,2025-09-07 20:23:16.535238+00:00,239.69,40.525000000000006,1.3500000000000014,0.03331276989512649,False,False,both,0.15480708835101906
AAPL250912P00285000,AAPL,equity,2025-09-12 00:00:00+00:00,285.0,P,44.8,46.25,48.95,,,0.0,100.0,USD,USD,False,0.6875031250000001,2025-09-07 20:23:16.535238+00:00,239.69,45.525,1.4500000000000028,0.03185063152114229,False,False,both,0.17250666545041998
AAPL250912P00305000,AAPL,equity,2025-09-12 00:00:00+00:00,305.0,P,64.8,66.05,76.0,,,0.0,100.0,USD,USD,False,0.8281267187499999,2025-09-07 20:23:16.535238+00:00,239.69,65.425,1.25,0.019105846388995033,False,False,both,0.24032926178918113
