symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
BTC-USD-250908-100000-C,BTC,crypto,2025-09-08 00:00:00+00:00,100000.0,C,0.1005,0.1025,,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-100000-P,BTC,crypto,2025-09-08 00:00:00+00:00,100000.0,P,,0.0001,0.0004,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-102000-C,BTC,crypto,2025-09-08 00:00:00+00:00,102000.0,C,0.0825,0.0845,,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-102000-P,BTC,crypto,2025-09-08 00:00:00+00:00,102000.0,P,,0.0001,0.0001,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-104000-C,BTC,crypto,2025-09-08 00:00:00+00:00,104000.0,C,0.065,0.0665,0.062,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-104000-P,BTC,crypto,2025-09-08 00:00:00+00:00,104000.0,P,,0.0001,0.0001,,20.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-105000-C,BTC,crypto,2025-09-08 00:00:00+00:00,105000.0,C,0.056,0.0575,0.056,,170.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-105000-P,BTC,crypto,2025-09-08 00:00:00+00:00,105000.0,P,,0.0001,0.0002,,1682.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-106000-C,BTC,crypto,2025-09-08 00:00:00+00:00,106000.0,C,0.047,0.0485,,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-106000-P,BTC,crypto,2025-09-08 00:00:00+00:00,106000.0,P,,0.0002,0.0001,,686.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-107000-C,BTC,crypto,2025-09-08 00:00:00+00:00,107000.0,C,0.038,0.0395,,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-107000-P,BTC,crypto,2025-09-08 00:00:00+00:00,107000.0,P,,0.0002,0.0001,,2820.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-108000-C,BTC,crypto,2025-09-08 00:00:00+00:00,108000.0,C,0.029,0.0305,0.026,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-108000-P,BTC,crypto,2025-09-08 00:00:00+00:00,108000.0,P,,0.0001,0.0001,,1850.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-108500-C,BTC,crypto,2025-09-08 00:00:00+00:00,108500.0,C,0.0245,0.026,,,0.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
BTC-USD-250908-108500-P,BTC,crypto,2025-09-08 00:00:00+00:00,108500.0,P,,0.0001,0.0001,,2215.0,,1.0,USD,USDT,False,,2025-09-07 23:11:14.109876+00:00,111275.1
