asset_class,underlying,asof,expiry,T,F,rho,sigma,loss,n_used,calendar_frac,butterfly_frac,notes
equity,AAPL,2025-09-07T22:37:15.500461+00:00,2025-09-12,0.011108718645872944,239.82316941872793,-0.7623642113362132,0.024622489927839875,1.5726610643619598e-06,75,0.49504950495049505,0.2222222222222222,smoothed
equity,AAPL,2025-09-07T22:37:15.500461+00:00,2025-09-19,0.030273663396265877,240.053089450841,0.7001109780280929,1e-06,0.018109760020697894,142,0.49504950495049505,0.2222222222222222,smoothed
equity,AAPL,2025-09-07T22:37:15.500461+00:00,2025-09-26,0.04943861390787005,240.2832299780002,-0.6632125881783828,0.04030458447472534,9.489269525658673e-05,67,0.49504950495049505,0.2222222222222222,smoothed
