symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
BTC-USD-250926-114000-C,BTC,crypto,2025-09-26 00:00:00+00:00,114000.0,C,0.02,0.0205,0.0225,,60.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-114000-P,BTC,crypto,2025-09-26 00:00:00+00:00,114000.0,P,0.0465,0.0475,0.046,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-115000-C,BTC,crypto,2025-09-26 00:00:00+00:00,115000.0,C,0.0165,0.017,0.017,,100.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-115000-P,BTC,crypto,2025-09-26 00:00:00+00:00,115000.0,P,0.052,0.053,0.0525,,11.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-116000-C,BTC,crypto,2025-09-26 00:00:00+00:00,116000.0,C,0.014,0.0145,0.015,,210.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-116000-P,BTC,crypto,2025-09-26 00:00:00+00:00,116000.0,P,0.0585,0.0595,0.063,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-118000-C,BTC,crypto,2025-09-26 00:00:00+00:00,118000.0,C,0.0095,0.01,0.0105,,25.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-118000-P,BTC,crypto,2025-09-26 00:00:00+00:00,118000.0,P,0.072,0.073,0.072,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-120000-C,BTC,crypto,2025-09-26 00:00:00+00:00,120000.0,C,0.006,0.0065,0.007,,527.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-120000-P,BTC,crypto,2025-09-26 00:00:00+00:00,120000.0,P,0.0865,0.089,0.086,,1.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-122000-C,BTC,crypto,2025-09-26 00:00:00+00:00,122000.0,C,0.0043,0.0044,0.0047,,141.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-122000-P,BTC,crypto,2025-09-26 00:00:00+00:00,122000.0,P,0.1025,0.105,0.1125,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-125000-C,BTC,crypto,2025-09-26 00:00:00+00:00,125000.0,C,0.0024,0.0025,0.0025,,12.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-125000-P,BTC,crypto,2025-09-26 00:00:00+00:00,125000.0,P,0.1275,0.13,0.1305,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-128000-C,BTC,crypto,2025-09-26 00:00:00+00:00,128000.0,C,0.0014,0.0015,0.0015,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-128000-P,BTC,crypto,2025-09-26 00:00:00+00:00,128000.0,P,0.1535,0.156,0.149,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-130000-C,BTC,crypto,2025-09-26 00:00:00+00:00,130000.0,C,0.001,0.0011,0.001,,1734.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-130000-P,BTC,crypto,2025-09-26 00:00:00+00:00,130000.0,P,0.1715,0.173,0.173,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
