symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
ETH-USD-250912-4500-C,ETH,crypto,2025-09-12 00:00:00+00:00,4500.0,C,0.0115,0.012,0.012,,3575.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4500-P,ETH,crypto,2025-09-12 00:00:00+00:00,4500.0,P,0.043,0.044,0.045,,50.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4550-C,ETH,crypto,2025-09-12 00:00:00+00:00,4550.0,C,0.0085,0.009,0.0085,,1414.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4550-P,ETH,crypto,2025-09-12 00:00:00+00:00,4550.0,P,0.0505,0.053,0.05,,100.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4600-C,ETH,crypto,2025-09-12 00:00:00+00:00,4600.0,C,0.006,0.0065,0.0065,,6001.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4600-P,ETH,crypto,2025-09-12 00:00:00+00:00,4600.0,P,0.06,0.0615,0.062,,30.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4700-C,ETH,crypto,2025-09-12 00:00:00+00:00,4700.0,C,0.003,0.0031,0.0032,,3186.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4700-P,ETH,crypto,2025-09-12 00:00:00+00:00,4700.0,P,0.0795,0.0815,0.079,,60.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4800-C,ETH,crypto,2025-09-12 00:00:00+00:00,4800.0,C,0.0015,0.0016,0.0015,,276.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4800-P,ETH,crypto,2025-09-12 00:00:00+00:00,4800.0,P,0.101,0.104,0.1065,,95.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4900-C,ETH,crypto,2025-09-12 00:00:00+00:00,4900.0,C,0.0007,0.0008,0.0008,,2751.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4900-P,ETH,crypto,2025-09-12 00:00:00+00:00,4900.0,P,0.1235,0.125,0.128,,20.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-5000-C,ETH,crypto,2025-09-12 00:00:00+00:00,5000.0,C,0.0003,0.0004,0.0003,,1593.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-5000-P,ETH,crypto,2025-09-12 00:00:00+00:00,5000.0,P,0.1455,0.1485,0.1515,,10.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-5100-C,ETH,crypto,2025-09-12 00:00:00+00:00,5100.0,C,0.0001,0.0003,0.0001,,2.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-5100-P,ETH,crypto,2025-09-12 00:00:00+00:00,5100.0,P,0.1685,0.1705,0.1715,,20.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-5200-C,ETH,crypto,2025-09-12 00:00:00+00:00,5200.0,C,,0.0002,0.0001,,306.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
